day,    time,   impressions,    followers
0,      11,     214,            81
1,      14,     397,            90
2,      4,      610,            91
3,      5,      453,            91
4,      5,      423,            92
5,      3,      920,            94
6,      4,      456,            110
7,      3,      136,            108
8,      5,      469,            110
9,      4,      232,            109
10,     3,      446,            113
11,     14,     209,            113
12,     4,      377,            115
13,     3,      177,            119
14,     3,      210,            120
15,     7,      179,            121
16,     5,      257,            123
17,     5,      1445,           130
18,     17,     300,            133